Player,2019_Overall,2019_Injury,2019_Age
Brandon Wilson,61,89,25
Jon Feliciano,61,90,27
Kyle Peko,61,88,26
Jamal Carter,61,91,25
Jeff Holland,61,88,23
Juston Burris,61,90,26
Donnie Lewis Jr,61,88,23
Brian Price,61,86,25
Bruce Anderson,61,87,22
Caleb Benenoch,61,86,25
K.J. Brent,61,87,26
Blaine Gabbert,61,90,29
Dare Ogunbowale,61,91,25
Orion Stewart,61,91,25
D.J. Foster,61,87,25
Max Garcia,61,88,27
Nick Dzubnar,61,87,28
Troymaine Pope,61,90,25
Scott Quessenberry,61,83,24
Artavis Scott,61,92,24
Kyle Wilson,61,85,23
E.J. Speed,61,85,24
Reggie Davis,61,85,23
Jalen Jelks,61,87,23
Chris Reed,61,84,27
Deiondre' Hall,61,88,25
Bruce Hector,61,81,24
Cody Kessler,61,89,26
Jeremy Langford,61,88,27
Tyree Robinson,61,86,25
Alonzo Russell,61,90,26
Chris Slayton,61,89,23
Quenton Meeks,61,83,22
Zedrick Woods,61,86,22
Quadree Henderson,61,87,22
Arthur Maulet,61,88,26
Trevor Siemian,61,85,27
Garret Dooley,61,82,24
James Crawford,61,87,24
Kendall Donnerson,61,90,23
Justin McCray,61,88,27
Jason Spriggs,61,90,25
Jared Norris,61,90,26
Yodny Cajuste,61,81,22
Hjalte Froholdt,61,89,23
Quinton Bell,61,87,23
Mike Glennon,61,86,29
Dakota Allen,61,88,23
Kevin Peterson,61,86,25
Bennett Jackson,61,82,27
Jaylen Smith,61,84,22
Ryan Groy,61,88,28
Saquan Hampton,61,84,22
Marshall Newhouse,61,91,30
Jamarco Jones,61,89,23
Ethan Pocic,61,89,24
Kalan Reed,61,90,25
Simeon Thomas,61,90,25
Lavon Hooks,61,88,27
Riley Bullough,61,89,25
LaTroy Lewis,61,88,25
Anthony Ratliff-Williams,61,87,22
Kris Boyd,61,88,22
Craig James,61,83,23
Derron Smith,61,81,27
Deante Burton,61,86,25
Josh Ferguson,61,88,26
A.J. Hendy,61,88,26
Steven Mitchell Jr,61,80,25
Xavier Woodson-Luster,61,86,24
Greg Mancz,61,90,27
Stephen Denmark,60,85,23
Davontae Harris,60,83,24
Niles Scott,60,85,23
Cam Phillips,60,85,23
De'Ondre Wesley,60,88,27
De'Vante Bausby,60,87,26
Drew Stanton,60,86,35
Terry Beckner Jr,60,83,22
Deatrick Nichols,60,91,25
Jeremy Vujnovich,60,86,28
Spencer Drango,60,91,26
Brandon Facyson,60,82,24
Justice Liggins,60,88,24
Arrion Springs,60,87,21
Sam Tevi,60,89,24
Andrew Vollert,60,87,24
Pace Murphy,60,84,25
Ben Niemann,60,88,24
J'Marcus Webb,60,87,31
Kyle Queiro,60,88,24
Donovan Wilson,60,85,24
Jalen Davis,60,84,23
Jamiyus Pittman,60,84,24
Isaiah Prince,60,88,22
Godwin Igwebuike,60,91,24
Adam Gettis,60,77,30
Alex Gray,60,86,28
John Wetzel,60,83,28
Shon Coleman,60,81,27
Jonathan Anderson,60,90,27
Mark McLaurin Jr,60,87,22
Chad Wheeler,60,80,25
Joe Giles-Harris,60,88,22
Cedric Ogbuehi,60,72,27
Tyler Shatley,60,92,28
De'Angelo Henderson Sr,60,88,26
Anthony Wint,60,87,23
Beau Benzschawel,60,88,23
Andre Chachere,60,87,23
Brandon Chubb,60,88,25
Dorian Johnson,60,96,24
Brandon King,60,88,26
Chris Warren III,60,82,23
Nick Scott,60,87,24
Tony Bergstrom,60,90,33
Josh Harvey-Clemons,60,88,25
Will Clapp,60,89,22
J.T. Gray,60,87,23
Emmanuel Ellerbee,60,87,22
Zach Banner,60,85,25
Trey Griffey,60,85,25
Jerald Hawkins,60,89,25
J.T. Jones,60,87,25
Tegray Scales,60,88,23
Robert Spillane,60,86,23
Dalyn Dawkins,60,89,24
David Long Jr,60,82,22
Joshua Kalu,60,85,24
Jeremy McNichols,60,89,23
Austin Pasztor,60,95,28
David Quessenberry,60,95,29
Dakota Dozier,60,90,28
Hercules Mata'afa,60,91,23
Olisaemeka Udoh,60,89,22
Roderick Johnson,60,90,23
Rashard Fant,59,86,24
John Franklin III,59,84,24
Tanner Gentry,59,84,24
Taquan Mizzell Sr,59,88,25
Christian Westerman,59,89,26
Alijah Holder,59,83,23
Robert Jackson,59,85,21
Lukas Denis,59,88,22
Demone Harris,59,87,23
Pat O'Connor,59,88,25
Will Holden,59,90,25
Jeff Richards,59,86,28
Mark Fields,59,85,22
Antonio Garcia,59,85,25
Cody Wichmann,59,92,27
Shaq Calhoun,59,86,23
Michael Dunn,59,86,25
Matt Pryor,59,83,24
Chris Cooper,59,85,25
Russell Gage Jr,59,89,23
C.J. Beathard,59,86,25
George Asafo-Adjei,59,85,22
Breon Borders,59,90,24
Gardner Minshew II,59,91,23
Brandon Bryant,59,91,23
Lucas Patrick,59,82,26
Kofi Amichia,59,91,25
Cole Luke,59,87,24
Calvin Munson,59,86,24
David Edwards,59,84,22
JoJo Natson,59,87,25
Steven Parker,59,91,23
Darious Williams,59,88,26
Chris Board,59,88,24
Matthew Thomas,59,82,24
Travin Dural,59,83,25
Joey Hunt,59,89,25
Patrick Morris,59,83,24
Herb Waters,59,89,26
Jamil Douglas,59,93,27
Nigel Harris,59,88,24
Tyrell Adams,59,88,27
Davin Bellamy,59,80,24
Buddy Howell,59,84,23
Michael Joseph,58,89,24
Ted Larsen,58,92,32
Jonathon Mincy,58,89,25
Ryan Nall,58,84,23
Michael Jordan,58,90,21
Keishawn Bierria,58,94,24
Horace Richardson,58,85,25
Blake Jackson,58,85,25
Devaroe Lawrence,58,86,26
Tigie Sankoh,58,87,20
Tavierre Thomas,58,89,23
Rees Odhiambo,58,79,26
Pete Robertson,58,84,26
Nick Allegretti,58,88,23
Chad Henne,58,90,34
Austin Reiter,58,91,27
Rolan Milligan,58,85,25
Javon Patterson,58,88,22
Jonathan Williams,58,85,25
Carlton Agudosi,58,87,25
Tyreek Burwell,58,88,27
Jordan Mailata,58,93,22
Antonio Hamilton,58,87,26
Kenny Ladler,58,93,27
Jeremy Clark,58,86,25
Derrick Jones,58,87,24
Jordan Morgan,58,91,25
Tray Matthews,58,81,24
Dennis Daley,58,86,22
Dillon Gordon,58,79,25
Jordan Devey,58,87,31
Jamil Demby,58,92,23
Travin Howard,58,88,23
Ramon Richards,58,86,22
Jermaine Eluemunor,58,92,24
Greg Senat,58,90,24
Darrell Williams,58,87,26
Michael Ola,58,92,31
Cameron Tom,58,94,24
Justin Currie,58,88,25
Geno Smith,58,83,28
Marcelis Branch,58,86,25
Kameron Kelly,58,83,23
Conor Sheehy,58,88,23
Matt Dickerson,58,84,23
Hroniss Grasu,58,87,28
Corey Levin,58,89,25
Kevin Pamphile,58,93,28
Derrick Baity Jr,58,90,22
Alex Bars,57,85,23
Austin Schlottmann,57,87,23
Linden Stephens,57,88,23
Ezekiel Turner,57,87,23
Gary Johnson,57,87,23
Justin Senior,57,89,25
Josh Andrews,57,92,28
Nate Sudfeld,57,90,25
Sean Harlow,57,89,24
Justin Skule,57,87,22
Brian Mihalik,57,87,27
Donnell Greene,57,84,23
Saivion Smith,57,86,21
Davis Webb,57,85,24
Don Muhlbach,57,94,38
Quin Blanding,57,89,23
Jarrett Stidham,57,85,22
Makinton Dorleant,57,88,26
David Sharpe,57,90,23
Dominique Hatfield,57,89,24
Ketner Kupp,57,85,22
R.J. Prince,57,86,24
Jojo Wicker,57,91,23
Matthew Dayes,57,87,24
Paxton Lynch,57,85,25
Jordan Roos,57,86,26
Jordan Simmons,57,82,25
Derwin Gray,57,83,24
David Fluellen,57,84,27
Curtis Cothran,57,88,24
Greer Martini,57,87,24
Chris Landrum,57,88,26
Cornelius Lucas,56,92,28
Josh Woods,56,87,23
Ryan Finley,56,88,23
Jeremiah Sirles,56,86,28
Don Barclay,56,89,30
Brett Rypien,56,88,22
Kyle Kalis,56,87,25
Zack Bailey,56,84,23
Mike Liedtke,56,87,27
Vontarrius Dora,56,89,26
Chris Jones,56,82,24
Joshua Miles,56,88,23
William Sweet,56,86,22
Cardale Jones,56,90,26
Le'Raven Clark,56,90,26
Phillip Walker,56,89,23
Jameill Showers,56,87,27
Chris Lammons,56,82,23
Quentin Poling,56,91,25
Jamar Summers,56,87,24
Anthony Fabiano,56,79,26
Clayton Thorson,56,87,23
Jacob Tuioti-Mariner,56,87,23
Matt Schaub,56,80,38
Nick DeLuca,56,82,24
Michael Hughes,56,80,23
Will Richardson Jr,56,81,23
Joe Dahl,56,90,26
Ryan Pope,56,82,22
Gerhard de Beer,56,84,25
Tra Carson,56,90,26
Yosuah Nijman,56,83,23
Andrew DePaola,56,92,32
Jeremiah Kolone,56,82,24
Aaron Neary,56,90,26
Ethan Greenidge,56,85,21
Taysom Hill,56,81,29
Elijah Nkansah,56,88,23
Keenan Reynolds,56,92,24
Kenneth Durden,56,93,27
Damon Webb II,56,84,23
Rashaad Coward,55,89,24
Kent Perkins,55,90,24
Rod Taylor,55,83,24
Conor McDermott,55,88,26
Jake Brendel,55,90,26
Kevin Hogan,55,91,26
Brad Seaton,55,87,25
Cole Boozer,55,87,24
Emmanuel Smith,55,88,24
Korey Cunningham,55,89,24
Tre'von Johnson,55,88,24
Ryan Hunter,55,88,24
D'Montre Wade,55,84,24
Jake Eldrenkamp,55,87,25
Adam Redmond,55,87,26
Kyle Fuller,55,91,25
Zach Sterup,55,88,27
Taveze Calhoun,55,86,26
Willie Beavers,55,89,25
Erik Magnuson,55,79,25
Evan Brown,55,89,22
Calvin Anderson,55,87,22
Tom Savage,55,86,29
Tim Boyle,55,84,24
Elijah Hood,55,88,23
A.J. Howard,55,93,23
Montrel Meander,55,85,24
Alvin Jones,55,85,24
Trace McSorley,55,87,23
Jeremy Reaves,55,85,23
Aaron Stinnie,55,90,25
Storm Norton,55,84,25
Kyle Sloter,55,90,25
Rick Leonard,55,89,22
Chaz Green,54,76,27
Sam Jones,54,86,23
Nick Fitzgerald,54,88,22
Ryan Griffin,54,90,29
Cole Toner,54,87,25
Zack Golditch,54,82,24
Jimmy Murray,54,85,24
Jackson Barton,54,89,24
Jaryd Jones-Smith,54,67,23
Christian DiLauro,54,86,24
Henre' Toliver,54,85,22
KC McDermott,54,87,23
Alex McGough,54,92,23
Leonard Wester,54,86,26
John Atkins,54,85,26
Leo Koloamatangi,54,86,25
Raven Greene,54,87,24
Cole Madison,54,90,24
Taylor Heinicke,54,89,26
Ian Silberman,54,87,26
Fred Johnson,54,89,22
Sean Mannion,54,89,27
Jake Rodgers,53,79,27
Dennis Gardeck,53,87,25
Brandon Knight,53,82,22
Cooper Rush,53,92,25
Mike White,53,94,24
Kenneth Farrow,53,88,26
Connor Hilland,53,84,24
Daniel Brunskill,53,91,25
Najee Toran,53,86,23
Paul Adams,53,86,24
Victor Salako,53,86,25
Chad Slade,53,91,27
Andrew Donnal,53,84,27
Taylor Hearn,53,91,23
Dan Skipper,53,94,24
Steven Moore,53,95,25
Tyler Catalina,53,88,26
Casey Dunn,53,83,24
Zac Kerin,53,89,28
J.T. Barrett IV,53,86,24
Ulrick John,53,84,27
Joe Webb III,53,88,32
Isaac Whitney,53,85,25
Clark Harris,52,88,35
Trenton Scott,52,90,25
Kyle Shurmur,52,90,22
Matt Gono,52,92,23
Dieugot Joseph,52,91,25
Ben Braden,52,91,25
Luke Falk,52,85,24
Eric Smith,52,88,23
Alex Light,52,84,23
Vitas Hrynkiewicz,52,88,23
Maurquice Shakir,52,90,25
Ike Boettger,51,80,23
Kahlil McKenzie,51,90,22
Jake Rudock,51,89,26
Josh Harris,51,95,30
Zak DeOssie,51,89,35
Connor Cook,51,91,26
Rico Gafford,51,90,23
Timon Parris,51,82,23
Kevin McDermott,51,92,29
David Steinmetz,51,84,24
Danny Etling,50,92,25
James Ferentz,50,90,30
Nathan Peterman,50,90,25
Nico Falah,49,84,24
Nick Gates,49,83,23
Jon Toth,49,88,25
Kyle Allen,49,89,23
David Blough,48,85,24
Garrett Gilbert,48,84,28
Chad Kanoff,48,83,24
Nick Sundberg,48,85,32
J.C. Hassenauer,48,87,23
L.P. LaDouceur,47,88,38
John Denney,47,90,40
Kurt Benkert,47,83,24
J.J. Jansen,47,92,33
Logan Woodside,47,89,24
Tyler Bray,46,87,27
Mike Windt,46,88,33
Tanner Lee,46,89,24
Brandon Allen,46,85,26
Reid Ferguson,45,91,25
Chase Litton,45,85,23
Alex Tanney,45,88,31
Matt Overton,45,90,34
Tyler Ott,45,86,27
Jake McQuaide,44,88,31
Josh Woodrum,44,87,26
Beau Brinkley,44,92,29
Aaron Brewer,43,92,29
Kyle Nelson,43,92,32
Andrew East,43,90,27
Patrick Scales,42,90,31
Colin Holba,42,94,25
Thomas Hennessy,42,87,25
James Winchester,41,88,30
Rick Lovato,41,92,26
Casey Kreiter,40,91,29
Hunter Bradley,39,90,25
Morgan Cox,39,90,33
Jon Weeks,39,90,33
Joe Cardona,38,91,27
Austin Cutting,38,90,21
Luke Rhodes,37,89,26
Kameron Canaday,37,92,26
Zach Wood,36,86,26
