Player,2020_Overall,2020_Age,2020_Injury
Tanner Hudson,61,25,87
Jaeden Graham,61,24,82
Jeff Driskel,61,27,88
Curtis Bolton,61,24,85
Cole Wick,61,26,86
Alexander Hollins,61,23,86
Olisaemeka Udoh,61,23,89
Colton McKivitz,61,24,89
Evan Weaver,61,22,90
Devaroe Lawrence,61,27,86
Artavis Scott,61,25,91
Jalen Jelks,61,24,87
Brian Price,61,26,86
A.J. McCarron,61,29,93
Jared Norris,61,27,90
Branden Jackson,61,27,87
Cedric Ogbuehi,61,28,72
Carlos Davis,61,24,85
Vernon Scott,61,22,86
Nick Dzubnar,61,29,87
Cale Garrett,61,22,83
Andrew Beck,61,24,83
Stephen Carlson,61,23,90
Danny Pinter,61,24,87
Tae Crowder,61,23,88
Colt McCoy,61,33,86
Tipa Galeai,61,23,88
Tyler Marz,61,27,82
Joey Hunt,61,26,88
Josiah Coatney,61,24,87
Nick Scott,61,25,87
Keisean Nixon,61,23,84
Chris Jackson,61,22,85
Stantley Thomas-Oliver III,61,22,89
Steven Mitchell Jr,61,26,80
Brent Qvale,61,29,87
Abdullah Anderson,61,24,87
Michael Jordan,61,22,90
Antony Auclair,61,27,86
Joe Gaziano,61,23,92
Deon Yelder,61,25,85
Tyler Davis,61,23,86
Hjalte Froholdt,61,24,89
Anthony Ratliff-Williams,61,23,87
Marquise Copeland,61,23,87
Keith Ismael,61,22,85
Roderick Johnson,61,24,90
Arrion Springs,61,23,87
Rashard Davis,61,24,90
Jessie Lemonier,60,23,84
Ishmael Hyman,60,25,87
Yodny Cajuste,60,24,81
Emmanuel Ellerbee,60,23,87
Stephen Sullivan,60,23,87
Chris Cooper,60,26,85
Rodney Clemons,60,23,85
Raven Greene,60,25,86
Stanford Samuels III,60,21,89
Mazzi Wilkins,60,24,89
Chris Claybrooks,60,23,83
Mark Fields,60,23,85
Tavierre Thomas,60,24,89
Dakota Dozier,60,29,90
Isaiah Prince,60,23,88
Josh Watson,60,25,87
Kahzin Daniels,60,24,85
Noah Dawkins,60,23,86
Jacob Tuioti-Mariner,60,24,87
Cam Brown,60,22,90
Jon Runyan,60,23,86
DaVonte Lambert,60,26,87
Brandon King,60,27,88
Jeremy Vujnovich,60,29,86
Patrick Omameh,60,30,92
Calvin Throckmorton,60,24,90
Chad Wheeler,60,26,80
Robert Spillane,60,24,86
Marc-Antoine Dequoy,60,25,85
Chris Williamson,60,23,83
Patrick Morris,60,25,83
Sam Tevi,60,25,89
Luke Gifford,60,25,81
Danny Isidora,60,26,86
Solomon Kindley,60,23,85
Bruce Hector,60,25,81
Josh Andrews,60,29,92
James Morgan,60,23,89
Charlie Heck,60,23,88
DeAndre Houston-Carson,60,27,89
Joshua Kalu,60,25,84
Alex Brown,60,24,85
Jalen Davis,60,24,84
Dalyn Dawkins,60,25,89
Jordan Franks,60,24,86
Kyle Peko,60,27,86
Matt Lengel,60,29,80
Ahmad Thomas,60,25,86
Charles Jones,60,24,88
Cole McDonald,60,22,88
Elijah Wellman,60,25,88
Cassh Maluia,60,21,87
Gunner Olszewski,60,23,87
Caleb Wilson,60,24,86
Davin Bellamy,60,25,80
Hakeem Adeniji,60,22,86
Mason Schreck,60,26,86
Tyrie Cleveland,60,22,86
Nasir Player,60,23,80
Jashon Cornell,60,23,89
Johnny Mundt,60,25,86
Chauncey Rivers,60,23,86
Greg Mancz,60,28,90
Donovan Olumba,60,24,85
Bruce Anderson,60,23,87
Craig Reynolds,60,24,87
Kyle Hinton,60,22,89
Jason Spriggs,59,26,90
Freedom Akinmoladun,59,24,84
Anthony Fabiano,59,27,79
Wyatt Ray,59,23,88
Chris Reed,59,28,84
Matt Schaub,59,39,80
Tremayne Anchrum Jr,59,22,88
Will Holden,59,26,90
Will Clapp,59,23,89
Ethan Pocic,59,25,88
Lafayette Pitts,59,27,88
Shon Coleman,59,28,81
Rashaad Coward,59,25,89
Cody Wichmann,59,28,92
Shaq Calhoun,59,24,86
Chad Henne,59,35,88
Ukeme Eligwe,59,26,87
Cornelius Lucas III,59,29,92
Bryan Mone,59,24,83
Zach Banner,59,26,85
Kareem Orr,59,23,83
Breon Borders,59,25,90
Jace Whittaker,59,25,85
Moritz Boehringer,59,26,91
Derrek Tuszka,59,24,90
Chapelle Russell,59,23,80
Adam Redmond,59,27,87
Ahmad Gooden,59,24,88
Jake Hanson,59,23,93
David Fales,59,29,92
Calvin Taylor,59,23,84
Nigel Harris,59,25,88
Chris Lammons,59,24,82
Cole Luke,59,25,87
D.J. Killings,59,25,87
Kofi Amichia,59,26,91
Max Garcia,59,28,88
Matt Pryor,59,25,83
Jake Luton,59,24,87
Lucas Patrick,59,27,82
Simon Stepaniak,59,23,85
Natrez Patrick,59,23,84
Kaden Elliss,59,25,86
Peter Kalambayi,59,25,90
Ryan Nall,59,24,84
Brandon Dillon,59,23,86
Willie Harvey,59,24,82
JoJo Natson,59,26,85
Cole Christiansen,59,23,91
Nick Allegretti,59,24,88
John Wetzel,59,29,83
B.J. Bello,59,25,84
James Looney,59,25,94
P.J. Walker,59,25,88
Jeremiah Valoaga,59,25,84
Sam Young,59,33,86
Tyrell Adams,59,28,88
Matt Dickerson,59,24,84
Rolan Milligan,59,26,85
Robert Jackson,59,23,85
Corey Levin,58,26,89
Lachavious Simmons,58,23,87
Montrel Meander,58,25,85
Jordan Mailata,58,23,91
David Sharpe,58,24,90
Jamil Demby,58,24,92
Clay Johnston,58,24,81
Jason Vander Laan,58,27,88
David Quessenberry,58,30,95
Linden Stephens,58,25,88
Senorise Perry,58,28,83
Dennis Gardeck,58,26,87
Josiah Tauaefa,58,23,87
Beau Benzschawel,58,24,88
Evan Baylis,58,26,82
Travin Howard,58,24,88
Blake Brandel,58,23,90
Buddy Howell,58,24,84
Austin Fort,58,25,85
Brandon Knight,58,23,82
Jermaine Eluemunor,58,25,92
Devlin Hodges,58,24,85
Jordan Williams,58,27,89
Saivion Smith,58,22,86
Arlington Hambright,58,24,86
Parker Houston,58,22,87
Sam Jones,58,24,86
John Atkins,58,27,85
Mike Glennon,58,30,86
Jordan Ta'Amu,58,22,88
Zach Gentry,58,23,88
Donte Vaughn,58,22,87
Justin Herron,58,24,85
Tyler Huntley,58,22,84
R.J. Prince,58,25,86
Krishawn Hogan,58,25,92
Elijah Nkansah,58,24,88
Alijah Holder,58,24,83
Sua Opeta,57,24,87
Sean Harlow,57,25,89
Carson Meier,57,25,84
Tim Boyle,57,25,84
Chandler Brewer,57,23,90
Jordan Simmons,57,26,82
Jarron Jones,57,26,86
Koda Martin,57,25,86
Greg Senat,57,25,90
T.J. Brunson,57,22,89
Garrett Dickerson,57,24,86
Chris Orr,57,23,86
Ben DiNucci,57,23,91
Jeremiah Kolone,57,25,82
Derwin Gray,57,25,83
Darryl Williams,57,23,86
Christian Rozeboom,57,23,88
Cameron Tom,57,25,94
Avery Gennesy,57,26,89
Quin Blanding,57,24,89
Kenneth Durden,57,28,93
Daniel Helm,57,25,89
Vontarrius Dora,57,27,89
Alex Ellis,57,27,86
Nate Sudfeld,57,26,90
Chris Jones,57,25,82
Kendall Blanton,57,24,86
Chad Kelly,57,26,86
Alex Bars,56,24,85
Le'Raven Clark,56,27,90
Mitch Hyatt,56,23,87
Nick Gates,56,24,83
Brad Lundblade,56,24,88
Juwann Bushell-Beatty,56,24,84
Jake Brendel,56,27,90
Austin Schlottmann,56,24,87
Zack Bailey,56,24,82
Joshua Miles,56,24,88
Yasir Durant,56,22,86
Javon Patterson,56,23,88
Geno Smith,56,29,83
David Blough,56,25,85
Kyle Lauletta,56,25,87
Ryan Bates,56,23,89
Cohl Cabral,56,22,92
Paxton Lynch,56,26,84
Jordan Roos,56,27,86
Josh Woods,56,24,87
Mark McLaurin Jr,56,23,87
Yosuah Nijman,56,24,83
Temarrick Hemingway,56,27,89
Daniel Bituli,56,22,86
C.J. Beathard,56,26,87
Kyle Murphy,56,26,90
Korey Cunningham,56,25,89
Trystan Colon-Castillo,56,22,91
Brad Seaton,55,26,87
Steven Gonzalez,55,23,87
Adam Pankey,55,26,87
Malcolm Perry,55,23,89
Conor McDermott,55,27,88
Anthony Gordon,55,23,86
Kurt Benkert,55,25,83
Rick Leonard,55,23,89
John Molchon,55,23,89
Storm Norton,55,26,84
Andrew Vollert,55,25,87
Ryan Hunter,55,25,88
Rico Gafford,55,24,90
Ethan Wolf,55,24,87
Charley Hughlett,55,30,90
Jake Eldrenkamp,55,26,87
Keaton Sutherland,55,23,86
Ryan Pope,55,23,82
Ryan Finley,55,25,88
Ethan Greenidge,55,22,85
Jeremy Reaves,55,24,85
Emmanuel Smith,55,25,88
Matt Gono,55,24,92
Brett Rypien,55,24,88
Christian DiLauro,55,25,86
Calvin Anderson,55,24,87
Andrew Donnal,55,28,84
Tyler Gauthier,55,23,90
James Murray,55,25,85
John Wolford,55,24,88
Fred Johnson,54,23,89
Victor Salako,54,26,86
Trace McSorley,54,25,87
Kyle Fuller,54,26,91
Jackson Barton,54,25,89
Dan Skipper,54,25,94
Branden Bowen,54,23,82
Daishawn Dixon,54,23,89
Jake Dolegala,54,23,87
Ryan Griffin,54,30,90
Aaron Brewer,54,22,86
Leonard Wester,54,27,86
Ezekiel Turner,54,24,87
Cole Toner,54,26,87
Frederick Mauigoa,54,22,87
Brian Lewerke,54,23,89
Daniel Munyer,54,28,91
O'Shea Dugas,54,23,84
KC McDermott,54,24,87
John Leglue,54,24,87
Nate Trewyn,54,24,89
Trent Scott,54,26,90
Tommy Stevens,54,23,82
Sean Mannion,54,28,89
Clayton Thorson,54,24,87
Andre James,53,23,87
Paul Adams,53,25,86
Jake Browning,53,24,93
Alex McGough,53,24,92
Aaron Stinnie,53,26,90
Isaac Whitney,53,26,85
Chad Slade,53,28,91
Eric Smith,53,24,88
Garrett McGhin,53,24,87
Brett Toth,53,24,88
Tyree St. Louis,53,23,87
Nate Stanley,53,23,94
Zac Kerin,53,29,89
Jaryd Jones-Smith,53,24,67
Jake Rodgers,53,28,79
Chaz Green,53,28,76
Davis Webb,53,25,85
Ben Braden,52,26,91
Alex Light,52,24,84
Cooper Rush,52,26,92
Sam Mustipher,52,24,89
Najee Toran,52,24,86
Timon Parris,52,24,82
J.C. Hassenauer,52,24,87
Josh Love,52,23,86
Bryce Perkins,52,23,87
Nate Herbig,51,22,86
David Steinmetz,51,25,84
Nathan Peterman,51,26,88
Evan Brown,51,23,89
Ike Boettger,51,24,80
Alex Taylor,51,23,87
Cole Madison,51,25,89
Kahlil McKenzie,51,23,90
Dino Boyd,51,24,87
Ryan Roberts,50,23,90
Coleman Shelton,50,25,85
J.T. Barrett IV,50,25,86
Nico Falah,50,25,84
Nick Sundberg,49,33,85
Jake Rudock,49,27,89
Alex Tanney,48,32,88
Danny Etling,48,26,92
Garrett Gilbert,48,29,83
Tyler Bray,47,28,87
Logan Woodside,47,25,89
Don Muhlbach,47,39,94
Clark Harris,44,36,88
Josh Harris,43,31,95
J.J. Jansen,38,34,92
L.P. LaDouceur,37,39,88
Nick Moore,36,27,88
Tyler Ott,36,28,86
Reid Ferguson,35,26,91
Jake McQuaide,35,32,88
Beau Brinkley,35,30,92
Casey Kreiter,33,30,91
Kyle Nelson,32,33,92
Aaron Brewer,32,30,92
Thomas Hennessy,31,26,87
James Winchester,31,31,88
Patrick Scales,30,32,90
Rick Lovato,30,27,92
Jacob Bobenmoyer,28,23,91
Morgan Cox,28,34,90
Jon Weeks,28,34,90
Hunter Bradley,28,26,90
Blake Ferguson,27,23,90
Cole Mazza,27,25,88
Austin Cutting,26,22,90
Joe Cardona,26,28,91
Zach Wood,26,27,86
Kameron Canaday,26,27,92
Matt Orzech,25,25,86
Luke Rhodes,24,27,89
Trent Sieg,24,24,89
Zach Triner,23,29,89
